id;codeurs_2019;description;sort_order;date_added;date_modified;status
1;mobile Fish;Home Loan Account Table Computer;5808;2019-11-21;2019-11-20;AVAILABLE
2;Producer;Implementation Electronics Officer;61748;2019-11-21;2019-11-20;RESTRICTED
3;enable Gorgeous Frozen Pants;Common;78517;2019-11-20;2019-11-21;AVAILABLE
4;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;23089;2019-11-20;2019-11-21;DISABLED
5;Salad;Digitized invoice;31171;2019-11-21;2019-11-21;AVAILABLE
6;Facilitator;Views e-enable Communications;72727;2019-11-20;2019-11-21;RESTRICTED
7;Tactics;scale interactive generating;35675;2019-11-20;2019-11-21;DISABLED
8;Small;deliverables reinvent 24 hour;1407;2019-11-20;2019-11-21;DISABLED
9;deposit Internal;Investment Account archive Fantastic Plastic Chicken;32518;2019-11-20;2019-11-20;RESTRICTED
10;Frozen bus;hard drive Robust Networked;4043;2019-11-21;2019-11-20;AVAILABLE
